OrderID,OrderDate,Region,Salesperson,Category,Product,UnitsSold,UnitPrice,Revenue
1000,2025-01-01,Selangor,Farid,Electronics,Power Bank,4,102.75,411.0
1001,2025-01-01,Sabah,Kumar,Electronics,Bluetooth Speaker,1,86.5,86.5
1002,2025-01-01,Kuala Lumpur,Ryan,Electronics,Smartwatch,12,138.59,1663.08
1003,2025-01-01,Kuala Lumpur,Wei Ling,Beauty,Lip Tint,1,55.4,55.4
1004,2025-01-01,Johor,Siti,Fashion,Sunglasses,3,76.56,229.68
1005,2025-01-01,Selangor,Siti,Electronics,Bluetooth Speaker,2,114.15,228.3
1006,2025-01-01,Sabah,Farid,Fashion,Sneakers,12,91.94,1103.28
1007,2025-01-01,Johor,Siti,Electronics,Power Bank,11,135.96,1495.56
1008,2025-01-02,Kuala Lumpur,Nadia,Electronics,Wireless Earbuds,11,103.14,1134.54
1009,2025-01-02,Selangor,Siti,Home & Living,LED Lamp,7,71.57,500.99
1010,2025-01-02,Kuala Lumpur,Farid,Fashion,Sunglasses,4,105.22,420.88
1011,2025-01-02,Sabah,Nadia,Home & Living,Storage Box,3,81.89,245.67
1012,2025-01-02,Sabah,Ain,Home & Living,Air Fryer,1,68.83,68.83
1013,2025-01-02,Penang,Siti,Beauty,Lip Tint,2,38.15,76.3
1014,2025-01-02,Kuala Lumpur,Nadia,Beauty,Hair Dryer,11,45.95,505.45
1015,2025-01-03,Kuala Lumpur,Kumar,Fashion,Wallet,10,88.16,881.6
1016,2025-01-03,Kuala Lumpur,Wei Ling,Beauty,Face Serum,1,58.62,58.62
1017,2025-01-03,Kuala Lumpur,Divya,Beauty,Face Serum,7,43.52,304.64
1018,2025-01-03,Sabah,Nadia,Fashion,Sneakers,11,108.41,1192.51
1019,2025-01-04,Penang,Ain,Electronics,Power Bank,7,97.29,681.03
1020,2025-01-04,Penang,Kumar,Home & Living,LED Lamp,11,72.71,799.81
1021,2025-01-04,Kuala Lumpur,Ain,Fashion,Backpack,9,123.07,1107.63
1022,2025-01-04,Sabah,Siti,Fashion,Wallet,1,70.05,70.05
1023,2025-01-04,Penang,Farid,Home & Living,LED Lamp,4,105.17,420.68
1024,2025-01-04,Selangor,Wei Ling,Beauty,Face Serum,9,55.62,500.58
1025,2025-01-04,Johor,Ryan,Home & Living,Air Fryer,9,104.86,943.74
1026,2025-01-04,Kuala Lumpur,Siti,Home & Living,Air Fryer,7,111.73,782.11
1027,2025-01-04,Johor,Siti,Beauty,Face Serum,4,38.58,154.32
1028,2025-01-05,Sabah,Ain,Home & Living,Storage Box,1,59.98,59.98
1029,2025-01-05,Kuala Lumpur,Kumar,Electronics,Wireless Earbuds,6,89.95,539.7
1030,2025-01-05,Penang,Divya,Beauty,Sunscreen,9,35.67,321.03
1031,2025-01-06,Johor,Ryan,Beauty,Sunscreen,2,34.55,69.1
1032,2025-01-06,Penang,Ain,Beauty,Hair Dryer,8,58.71,469.68
1033,2025-01-06,Selangor,Farid,Electronics,Bluetooth Speaker,12,112.5,1350.0
1034,2025-01-06,Kuala Lumpur,Ryan,Home & Living,Storage Box,9,81.12,730.08
1035,2025-01-07,Penang,Farid,Beauty,Sunscreen,2,45.46,90.92
1036,2025-01-07,Selangor,Divya,Electronics,Wireless Earbuds,4,97.97,391.88
1037,2025-01-07,Johor,Ain,Home & Living,Blender,1,65.22,65.22
1038,2025-01-07,Johor,Divya,Fashion,Wallet,5,89.65,448.25
1039,2025-01-08,Kuala Lumpur,Ain,Fashion,Backpack,1,99.49,99.49
1040,2025-01-08,Penang,Wei Ling,Electronics,Wireless Earbuds,10,124.05,1240.5
1041,2025-01-08,Selangor,Kumar,Electronics,Smartwatch,2,133.98,267.96
1042,2025-01-08,Johor,Farid,Electronics,Smartwatch,10,133.94,1339.4
1043,2025-01-09,Sabah,Siti,Fashion,Sunglasses,4,105.19,420.76
1044,2025-01-09,Kuala Lumpur,Nadia,Fashion,Wallet,3,105.32,315.96
1045,2025-01-09,Johor,Farid,Fashion,Sneakers,1,91.87,91.87
1046,2025-01-09,Selangor,Farid,Home & Living,Air Fryer,3,108.26,324.78
1047,2025-01-09,Kuala Lumpur,Nadia,Fashion,Sunglasses,3,90.61,271.83
1048,2025-01-09,Sabah,Wei Ling,Electronics,Power Bank,11,92.7,1019.7
1049,2025-01-10,Selangor,Kumar,Electronics,Smartwatch,5,107.67,538.35
1050,2025-01-10,Penang,Ain,Home & Living,Air Fryer,9,83.36,750.24
1051,2025-01-10,Selangor,Wei Ling,Beauty,Lip Tint,1,31.61,31.61
1052,2025-01-10,Penang,Ain,Home & Living,Blender,9,95.52,859.68
1053,2025-01-10,Selangor,Siti,Electronics,Smartwatch,9,87.03,783.27
1054,2025-01-11,Sabah,Siti,Home & Living,Blender,3,58.34,175.02
1055,2025-01-11,Selangor,Farid,Fashion,Backpack,11,78.72,865.92
1056,2025-01-11,Penang,Wei Ling,Beauty,Sunscreen,4,58.74,234.96
1057,2025-01-11,Johor,Ryan,Electronics,Smartwatch,12,161.66,1939.92
1058,2025-01-11,Kuala Lumpur,Ain,Fashion,Backpack,12,69.81,837.72
1059,2025-01-11,Johor,Kumar,Home & Living,Storage Box,8,75.58,604.64
1060,2025-01-11,Kuala Lumpur,Farid,Electronics,Smartwatch,7,111.57,780.99
1061,2025-01-12,Penang,Siti,Fashion,Wallet,11,124.81,1372.91
1062,2025-01-12,Selangor,Nadia,Electronics,Power Bank,3,132.77,398.31
1063,2025-01-12,Selangor,Siti,Electronics,Bluetooth Speaker,6,145.2,871.2
1064,2025-01-12,Johor,Ain,Electronics,Bluetooth Speaker,10,99.97,999.7
1065,2025-01-12,Johor,Siti,Electronics,Smartwatch,6,120.23,721.38
1066,2025-01-12,Sabah,Nadia,Fashion,Sneakers,12,119.7,1436.4
1067,2025-01-12,Johor,Wei Ling,Fashion,Wallet,12,81.63,979.56
1068,2025-01-12,Kuala Lumpur,Wei Ling,Beauty,Hair Dryer,11,55.07,605.77
1069,2025-01-12,Sabah,Nadia,Fashion,Wallet,9,115.52,1039.68
1070,2025-01-13,Kuala Lumpur,Kumar,Beauty,Lip Tint,8,45.42,363.36
1071,2025-01-13,Sabah,Siti,Beauty,Sunscreen,11,34.17,375.87
1072,2025-01-13,Selangor,Wei Ling,Home & Living,Air Fryer,4,101.17,404.68
1073,2025-01-13,Selangor,Farid,Electronics,Smartwatch,8,135.35,1082.8
1074,2025-01-13,Johor,Divya,Beauty,Sunscreen,12,53.44,641.28
1075,2025-01-14,Kuala Lumpur,Kumar,Home & Living,LED Lamp,2,99.59,199.18
1076,2025-01-14,Kuala Lumpur,Farid,Beauty,Face Serum,9,39.35,354.15
1077,2025-01-14,Johor,Siti,Home & Living,Blender,11,85.74,943.14
1078,2025-01-14,Johor,Divya,Beauty,Hair Dryer,3,54.93,164.79
1079,2025-01-14,Johor,Divya,Fashion,Backpack,11,80.47,885.17
1080,2025-01-14,Kuala Lumpur,Kumar,Fashion,Wallet,2,107.95,215.9
1081,2025-01-15,Penang,Ryan,Fashion,Sneakers,3,72.5,217.5
1082,2025-01-15,Kuala Lumpur,Divya,Home & Living,LED Lamp,7,78.83,551.81
1083,2025-01-15,Johor,Ain,Electronics,Smartwatch,7,116.72,817.04
1084,2025-01-15,Sabah,Nadia,Beauty,Hair Dryer,1,61.2,61.2
1085,2025-01-15,Johor,Ryan,Beauty,Sunscreen,8,38.41,307.28
1086,2025-01-16,Selangor,Ryan,Beauty,Lip Tint,11,52.89,581.79
1087,2025-01-16,Kuala Lumpur,Ryan,Beauty,Sunscreen,10,48.32,483.2
1088,2025-01-16,Sabah,Divya,Electronics,Wireless Earbuds,11,120.0,1320.0
1089,2025-01-16,Kuala Lumpur,Divya,Electronics,Power Bank,7,111.5,780.5
1090,2025-01-16,Penang,Ryan,Fashion,Wallet,5,110.38,551.9
1091,2025-01-16,Penang,Ain,Electronics,Bluetooth Speaker,1,146.92,146.92
1092,2025-01-17,Kuala Lumpur,Kumar,Electronics,Wireless Earbuds,1,163.77,163.77
1093,2025-01-17,Selangor,Farid,Home & Living,Storage Box,3,82.52,247.56
1094,2025-01-17,Sabah,Siti,Home & Living,Blender,12,70.35,844.2
1095,2025-01-17,Kuala Lumpur,Ain,Electronics,Smartwatch,5,93.08,465.4
1096,2025-01-17,Penang,Kumar,Beauty,Hair Dryer,12,37.75,453.0
1097,2025-01-18,Penang,Siti,Electronics,Wireless Earbuds,6,128.75,772.5
1098,2025-01-18,Selangor,Farid,Fashion,Sneakers,7,114.81,803.67
1099,2025-01-18,Johor,Wei Ling,Fashion,Wallet,12,72.64,871.68
1100,2025-01-19,Sabah,Nadia,Fashion,Wallet,8,90.44,723.52
1101,2025-01-19,Penang,Kumar,Home & Living,LED Lamp,5,105.37,526.85
1102,2025-01-19,Johor,Siti,Beauty,Lip Tint,1,47.07,47.07
1103,2025-01-19,Kuala Lumpur,Siti,Beauty,Sunscreen,6,56.63,339.78
1104,2025-01-19,Penang,Farid,Fashion,Sneakers,9,122.73,1104.57
1105,2025-01-19,Kuala Lumpur,Divya,Beauty,Hair Dryer,9,55.38,498.42
1106,2025-01-19,Johor,Ryan,Beauty,Face Serum,2,40.77,81.54
1107,2025-01-19,Kuala Lumpur,Siti,Fashion,Sunglasses,8,97.87,782.96
1108,2025-01-20,Sabah,Nadia,Fashion,Sunglasses,12,91.59,1099.08
1109,2025-01-20,Penang,Farid,Home & Living,LED Lamp,12,66.78,801.36
1110,2025-01-20,Sabah,Nadia,Home & Living,Storage Box,4,97.36,389.44
1111,2025-01-20,Sabah,Siti,Fashion,Sneakers,4,81.66,326.64
1112,2025-01-20,Kuala Lumpur,Nadia,Fashion,Sneakers,12,96.65,1159.8
1113,2025-01-20,Selangor,Divya,Electronics,Power Bank,12,163.3,1959.6
1114,2025-01-21,Selangor,Wei Ling,Fashion,Wallet,8,90.75,726.0
1115,2025-01-21,Selangor,Ryan,Fashion,Wallet,2,114.79,229.58
1116,2025-01-21,Johor,Nadia,Electronics,Wireless Earbuds,3,96.53,289.59
1117,2025-01-22,Kuala Lumpur,Kumar,Electronics,Bluetooth Speaker,10,134.07,1340.7
1118,2025-01-22,Sabah,Ryan,Beauty,Hair Dryer,8,40.87,326.96
1119,2025-01-22,Penang,Nadia,Electronics,Wireless Earbuds,4,136.54,546.16
1120,2025-01-23,Selangor,Wei Ling,Home & Living,Storage Box,3,86.91,260.73
1121,2025-01-23,Selangor,Nadia,Beauty,Hair Dryer,12,50.21,602.52
1122,2025-01-23,Selangor,Divya,Home & Living,Air Fryer,12,71.83,861.96
1123,2025-01-23,Selangor,Kumar,Home & Living,Air Fryer,11,89.03,979.33
1124,2025-01-23,Johor,Nadia,Electronics,Smartwatch,11,96.52,1061.72
1125,2025-01-23,Kuala Lumpur,Nadia,Electronics,Wireless Earbuds,3,150.58,451.74
1126,2025-01-23,Johor,Ryan,Electronics,Bluetooth Speaker,12,109.54,1314.48
1127,2025-01-23,Penang,Ryan,Beauty,Hair Dryer,2,50.34,100.68
1128,2025-01-24,Penang,Ain,Fashion,Sneakers,2,77.42,154.84
1129,2025-01-24,Penang,Divya,Electronics,Smartwatch,8,127.59,1020.72
1130,2025-01-24,Penang,Farid,Home & Living,Blender,11,101.6,1117.6
1131,2025-01-24,Johor,Farid,Fashion,Wallet,6,83.23,499.38
1132,2025-01-24,Kuala Lumpur,Ryan,Fashion,Wallet,12,94.21,1130.52
1133,2025-01-24,Sabah,Siti,Electronics,Bluetooth Speaker,2,110.42,220.84
1134,2025-01-24,Selangor,Divya,Beauty,Face Serum,11,58.89,647.79
1135,2025-01-24,Johor,Divya,Electronics,Smartwatch,9,114.39,1029.51
1136,2025-01-25,Johor,Nadia,Electronics,Smartwatch,5,130.13,650.65
1137,2025-01-25,Johor,Kumar,Beauty,Face Serum,1,62.15,62.15
1138,2025-01-25,Kuala Lumpur,Kumar,Fashion,Sneakers,9,88.7,798.3
1139,2025-01-25,Selangor,Divya,Beauty,Face Serum,11,57.71,634.81
1140,2025-01-25,Penang,Kumar,Fashion,Wallet,8,124.76,998.08
1141,2025-01-25,Johor,Wei Ling,Home & Living,Blender,4,107.62,430.48
1142,2025-01-25,Selangor,Nadia,Fashion,Wallet,6,121.86,731.16
1143,2025-01-25,Selangor,Divya,Fashion,Sunglasses,10,99.54,995.4
1144,2025-01-26,Kuala Lumpur,Ryan,Beauty,Hair Dryer,6,41.97,251.82
1145,2025-01-26,Johor,Ryan,Fashion,Backpack,12,78.04,936.48
1146,2025-01-26,Kuala Lumpur,Ryan,Beauty,Face Serum,6,54.96,329.76
1147,2025-01-26,Johor,Siti,Home & Living,Blender,1,63.07,63.07
1148,2025-01-26,Selangor,Ain,Beauty,Face Serum,9,60.18,541.62
1149,2025-01-26,Kuala Lumpur,Nadia,Beauty,Sunscreen,2,46.29,92.58
1150,2025-01-26,Penang,Ryan,Beauty,Face Serum,6,58.35,350.1
1151,2025-01-26,Penang,Nadia,Beauty,Face Serum,10,33.66,336.6
1152,2025-01-26,Kuala Lumpur,Farid,Electronics,Bluetooth Speaker,2,147.87,295.74
1153,2025-01-27,Kuala Lumpur,Ain,Fashion,Sneakers,1,83.44,83.44
1154,2025-01-27,Penang,Ryan,Fashion,Sunglasses,7,72.17,505.19
1155,2025-01-27,Sabah,Ryan,Home & Living,Storage Box,3,60.42,181.26
1156,2025-01-27,Sabah,Divya,Home & Living,Blender,10,64.01,640.1
1157,2025-01-27,Penang,Divya,Beauty,Lip Tint,11,31.8,349.8
1158,2025-01-27,Penang,Nadia,Home & Living,LED Lamp,8,108.93,871.44
1159,2025-01-28,Johor,Ryan,Fashion,Wallet,5,75.55,377.75
1160,2025-01-28,Johor,Nadia,Electronics,Smartwatch,7,132.04,924.28
1161,2025-01-28,Penang,Ain,Electronics,Bluetooth Speaker,5,84.68,423.4
1162,2025-01-28,Sabah,Siti,Beauty,Lip Tint,4,50.62,202.48
1163,2025-01-28,Kuala Lumpur,Wei Ling,Home & Living,Air Fryer,11,98.31,1081.41
1164,2025-01-28,Selangor,Siti,Electronics,Power Bank,8,86.8,694.4
1165,2025-01-28,Kuala Lumpur,Wei Ling,Electronics,Power Bank,6,146.79,880.74
1166,2025-01-28,Kuala Lumpur,Nadia,Home & Living,Air Fryer,9,84.1,756.9
1167,2025-01-29,Kuala Lumpur,Siti,Fashion,Wallet,5,110.03,550.15
1168,2025-01-29,Selangor,Kumar,Beauty,Face Serum,3,55.26,165.78
1169,2025-01-29,Johor,Farid,Fashion,Sneakers,7,63.88,447.16
1170,2025-01-29,Johor,Siti,Fashion,Sunglasses,10,87.0,870.0
1171,2025-01-29,Selangor,Siti,Home & Living,Blender,1,90.69,90.69
1172,2025-01-29,Sabah,Nadia,Home & Living,LED Lamp,11,102.14,1123.54
1173,2025-01-29,Johor,Nadia,Electronics,Smartwatch,1,163.49,163.49
1174,2025-01-29,Johor,Wei Ling,Electronics,Wireless Earbuds,4,158.53,634.12
1175,2025-01-29,Johor,Ryan,Beauty,Lip Tint,11,61.41,675.51
